makam,num_usuls,shapeh_mean,shapeh_best,avg_rank,best_rank
Karcığar Türkü,6,41.14500269693361,49.45010130629765,1710.281746031746,1152.4285714285713
Kürdî Türkü,3,43.492792243015494,49.3652369650901,1742.3650793650793,1475.7857142857142
Ruhnevaz Oyunhavası,1,45.380594851260334,45.380594851260334,1749.047619047619,1749.047619047619
Sûzidil Taksim,1,47.81346921971558,47.81346921971558,1749.047619047619,1749.047619047619
Sûzinâk-Zirgüle Türkü,3,41.370011794873186,46.99915415278821,1765.1984126984128,1502.2619047619048
Acem İlâhî,2,39.204892724811735,42.478915194336906,1773.4880952380952,1585.3809523809523
Eviç-Hûzî Türkü,1,42.80108448412033,42.80108448412033,1773.6190476190477,1773.6190476190477
Şehnâzbûselik Şarkı,2,41.280943684375835,47.58692486001865,1773.6904761904761,1487.5714285714287
Mâhur Fantezi,1,41.0802905830118,41.0802905830118,1776.25,1776.25
Muhayyerkürdî Türkü,5,38.04773140779458,61.480361559829305,1782.0380952380954,582.3571428571429
Hüzzam İlâhî,3,36.9499133440193,69.55787510617179,1785.515873015873,222.54761904761904
Hûzî İlâhî,1,40.29825243244667,40.29825243244667,1788.0238095238096,1788.0238095238096
Hicaz Zeybek,1,46.71259831048985,46.71259831048985,1796.0238095238096,1796.0238095238096
Nişâburek Medhal,1,41.32737361761232,41.32737361761232,1798.5714285714287,1798.5714285714287
Hicaz-Hümâyûn Yürüksemâî,1,40.21433169014162,40.21433169014162,1802.7380952380952,1802.7380952380952
Acemaşîrân Marş,1,42.07499476136407,42.07499476136407,1807.8809523809523,1807.8809523809523
Büzürk Küpe,1,39.012355243889765,39.012355243889765,1812.857142857143,1812.857142857143
Mâhur Küpe,1,38.99004716841298,38.99004716841298,1816.357142857143,1816.357142857143
Şevk-ı-Dil Küpe,1,38.6512643139917,38.6512643139917,1817.2619047619048,1817.2619047619048
Muhayyer Zeybek,2,36.38718394948439,55.589082333447436,1817.654761904762,935.1904761904761
Tâhir Şarkı,2,40.60801521551531,41.39811838509861,1824.345238095238,1765.142857142857
Hüzzam Türkü,6,38.62176279634186,52.783475137729084,1826.2268518518517,1170.4761904761904
Karcığar Güvende,1,44.22142930405744,44.22142930405744,1835.952380952381,1835.952380952381
Mâhur Türkü,4,40.18650002725309,50.1569008928779,1842.029761904762,1177.4285714285713
