raga,makam,usul,metric,agg,value
Bhairav,Acemaşîrân Aranağme,Curcuna,shapeh_score,mean,12.358529086012195
Bhairav,Acemaşîrân Aranağme,Curcuna,shapeh_score,median,12.605101976856659
Bhairav,Acemaşîrân Aranağme,Curcuna,shapeh_score,max,17.729082172676158
Bhairav,Acemaşîrân Aranağme,Curcuna,shapeh_score,top_5_mean,16.26573643145819
Bhairav,Acemaşîrân Aranağme,Semâî,shapeh_score,mean,5.86394034759036
Bhairav,Acemaşîrân Aranağme,Semâî,shapeh_score,median,5.782872703081172
Bhairav,Acemaşîrân Aranağme,Semâî,shapeh_score,max,11.909402498386688
Bhairav,Acemaşîrân Aranağme,Semâî,shapeh_score,top_5_mean,9.425178888646714
Bhairav,Acemaşîrân Aranağme,Senginsemâî,shapeh_score,mean,13.129727873131467
Bhairav,Acemaşîrân Aranağme,Senginsemâî,shapeh_score,median,12.791034697915734
Bhairav,Acemaşîrân Aranağme,Senginsemâî,shapeh_score,max,19.803692592165227
Bhairav,Acemaşîrân Aranağme,Senginsemâî,shapeh_score,top_5_mean,18.24139162047543
Bhairav,Acemaşîrân Aranağme,Sofyan,shapeh_score,mean,6.781802284757527
Bhairav,Acemaşîrân Aranağme,Sofyan,shapeh_score,median,6.762460593213701
Bhairav,Acemaşîrân Aranağme,Sofyan,shapeh_score,max,10.228285845751904
Bhairav,Acemaşîrân Aranağme,Sofyan,shapeh_score,top_5_mean,9.819712154171173
Bhairav,Acemaşîrân Aranağme,Yürüksemâî,shapeh_score,mean,9.980223123491454
Bhairav,Acemaşîrân Aranağme,Yürüksemâî,shapeh_score,median,9.79914861397803
Bhairav,Acemaşîrân Aranağme,Yürüksemâî,shapeh_score,max,15.87522454567341
Bhairav,Acemaşîrân Aranağme,Yürüksemâî,shapeh_score,top_5_mean,14.041186911747317
Bhairav,Acemaşîrân Beste,Devr-i Kebîr,shapeh_score,mean,25.852358010242284
Bhairav,Acemaşîrân Beste,Devr-i Kebîr,shapeh_score,median,25.867359926948755
Bhairav,Acemaşîrân Beste,Devr-i Kebîr,shapeh_score,max,56.695731887123806
Bhairav,Acemaşîrân Beste,Devr-i Kebîr,shapeh_score,top_5_mean,44.808921568208426
Bhairav,Acemaşîrân Beste,Zencîr,shapeh_score,mean,25.77385933240004
Bhairav,Acemaşîrân Beste,Zencîr,shapeh_score,median,25.851019554883166
Bhairav,Acemaşîrân Beste,Zencîr,shapeh_score,max,58.72716472001052
Bhairav,Acemaşîrân Beste,Zencîr,shapeh_score,top_5_mean,44.93432339990281
Bhairav,Acemaşîrân Fantezi,Yürüksemâî II,shapeh_score,mean,19.25672509246557
Bhairav,Acemaşîrân Fantezi,Yürüksemâî II,shapeh_score,median,18.05913653374133
Bhairav,Acemaşîrân Fantezi,Yürüksemâî II,shapeh_score,max,41.783731710478854
Bhairav,Acemaşîrân Fantezi,Yürüksemâî II,shapeh_score,top_5_mean,34.460152883373
Bhairav,Acemaşîrân İlâhî,Muhammes,shapeh_score,mean,27.019753133904953
Bhairav,Acemaşîrân İlâhî,Muhammes,shapeh_score,median,25.004614493719842
Bhairav,Acemaşîrân İlâhî,Muhammes,shapeh_score,max,55.79678634363422
Bhairav,Acemaşîrân İlâhî,Muhammes,shapeh_score,top_5_mean,46.49432314348268
Bhairav,Acemaşîrân Küpe,Aksaksemâî,shapeh_score,mean,21.611268287146842
Bhairav,Acemaşîrân Küpe,Aksaksemâî,shapeh_score,median,22.288481537039175
Bhairav,Acemaşîrân Küpe,Aksaksemâî,shapeh_score,max,30.683420872312748
Bhairav,Acemaşîrân Küpe,Aksaksemâî,shapeh_score,top_5_mean,28.44435783142656
Bhairav,Acemaşîrân Marş,Nîmsofyan,shapeh_score,mean,21.659982038381205
Bhairav,Acemaşîrân Marş,Nîmsofyan,shapeh_score,median,20.808685661699236
Bhairav,Acemaşîrân Marş,Nîmsofyan,shapeh_score,max,46.30840929779349
Bhairav,Acemaşîrân Marş,Nîmsofyan,shapeh_score,top_5_mean,38.85910711665547
Bhairav,Acemaşîrân Nakış,Yürüksemâî(6/4),shapeh_score,mean,25.16704695534009
Bhairav,Acemaşîrân Nakış,Yürüksemâî(6/4),shapeh_score,median,24.17020277133166
Bhairav,Acemaşîrân Nakış,Yürüksemâî(6/4),shapeh_score,max,52.595694563750946
Bhairav,Acemaşîrân Nakış,Yürüksemâî(6/4),shapeh_score,top_5_mean,42.60357720311177
Bhairav,Acemaşîrân Peşrev,Devr-i Kebîr,shapeh_score,mean,27.49703690611353
Bhairav,Acemaşîrân Peşrev,Devr-i Kebîr,shapeh_score,median,26.374104132210213
Bhairav,Acemaşîrân Peşrev,Devr-i Kebîr,shapeh_score,max,61.642132247251595
Bhairav,Acemaşîrân Peşrev,Devr-i Kebîr,shapeh_score,top_5_mean,49.98032217763356
Bhairav,Acemaşîrân Peşrev,Düyek,shapeh_score,mean,23.954436112147302
Bhairav,Acemaşîrân Peşrev,Düyek,shapeh_score,median,22.793153725285734
Bhairav,Acemaşîrân Peşrev,Düyek,shapeh_score,max,53.13866772653641
Bhairav,Acemaşîrân Peşrev,Düyek,shapeh_score,top_5_mean,40.48952523815016
Bhairav,Acemaşîrân Peşrev,Frenkçîn (12/4),shapeh_score,mean,21.022743616580556
Bhairav,Acemaşîrân Peşrev,Frenkçîn (12/4),shapeh_score,median,20.975433171931115
Bhairav,Acemaşîrân Peşrev,Frenkçîn (12/4),shapeh_score,max,47.756490634255094
Bhairav,Acemaşîrân Peşrev,Frenkçîn (12/4),shapeh_score,top_5_mean,36.92395405521293
Bhairav,Acemaşîrân Peşrev,Muhammes,shapeh_score,mean,26.12174454138888
Bhairav,Acemaşîrân Peşrev,Muhammes,shapeh_score,median,24.745974560275116
Bhairav,Acemaşîrân Peşrev,Muhammes,shapeh_score,max,52.481538463730004
Bhairav,Acemaşîrân Peşrev,Muhammes,shapeh_score,top_5_mean,45.36450476015455
Bhairav,Acemaşîrân Şarkı,Ağıraksak,shapeh_score,mean,23.359128488390507
Bhairav,Acemaşîrân Şarkı,Ağıraksak,shapeh_score,median,21.981219006998842
Bhairav,Acemaşîrân Şarkı,Ağıraksak,shapeh_score,max,58.23438508318689
Bhairav,Acemaşîrân Şarkı,Ağıraksak,shapeh_score,top_5_mean,53.680756809734774
Bhairav,Acemaşîrân Şarkı,Ağırdüyek,shapeh_score,mean,24.376733235500232
Bhairav,Acemaşîrân Şarkı,Ağırdüyek,shapeh_score,median,22.364066352979393
